,,Per capita personal income (dollars),,
County,State,2018,2019,2020
United States,United States,"54,098","56,047","59,510"
Alabama,Alabama,"42,328","43,996","46,479"
Autauga,Alabama,"42,931","44,368","46,814"
Baldwin,Alabama,"46,905","48,270","50,953"
Barbour,Alabama,"34,064","35,572","37,850"
Bibb,Alabama,"30,250","31,540","34,300"
Blount,Alabama,"35,905","36,969","38,808"
Bullock,Alabama,"26,841","28,136","31,944"
Butler,Alabama,"35,932","38,073","39,988"
Calhoun,Alabama,"36,482","37,708","40,195"
Chambers,Alabama,"34,055","36,110","38,508"
Cherokee,Alabama,"35,647","36,381","37,869"
Chilton,Alabama,"34,982","36,471","38,778"
Choctaw,Alabama,"38,200","39,097","42,231"
Clarke,Alabama,"35,437","37,061","40,822"
Clay,Alabama,"33,131","34,185","37,179"
Cleburne,Alabama,"35,668","35,905","37,734"
Coffee,Alabama,"42,176","43,319","45,262"
Colbert,Alabama,"37,601","38,860","41,941"
Conecuh,Alabama,"32,588","33,596","36,908"
Coosa,Alabama,"31,344","32,548","34,683"
Covington,Alabama,"35,487","35,927","37,930"
Crenshaw,Alabama,"36,283","36,783","38,161"
Cullman,Alabama,"39,525","41,211","42,659"
Dale,Alabama,"36,497","37,831","40,111"
Dallas,Alabama,"34,915","37,033","41,195"
DeKalb,Alabama,"32,196","33,427","35,100"
Elmore,Alabama,"42,956","44,561","47,270"
Escambia,Alabama,"32,445","34,338","37,137"
Etowah,Alabama,"36,583","37,700","39,852"
Fayette,Alabama,"34,231","35,856","38,001"
Franklin,Alabama,"33,951","34,831","37,362"
Geneva,Alabama,"34,708","36,455","38,358"
Greene,Alabama,"30,762","32,534","35,992"
Hale,Alabama,"35,615","37,825","41,190"
Henry,Alabama,"42,010","43,738","45,409"
Houston,Alabama,"42,611","44,300","47,072"
Jackson,Alabama,"36,672","38,002","40,089"
Jefferson,Alabama,"54,777","56,599","58,424"
Lamar,Alabama,"33,022","34,549","37,161"
Lauderdale,Alabama,"36,712","38,135","40,729"
Lawrence,Alabama,"33,900","35,414","38,098"
Lee,Alabama,"38,184","40,439","42,468"
Limestone,Alabama,"43,495","44,841","47,695"
Lowndes,Alabama,"39,544","41,449","44,921"
Macon,Alabama,"32,321","34,213","37,834"
Madison,Alabama,"51,759","54,169","57,128"
Marengo,Alabama,"39,217","40,297","43,854"
Marion,Alabama,"32,459","33,433","36,330"
Marshall,Alabama,"35,990","37,913","40,045"
Mobile,Alabama,"38,195","40,003","42,823"
Monroe,Alabama,"32,808","34,489","38,192"
Montgomery,Alabama,"43,442","44,597","47,776"
Morgan,Alabama,"39,908","41,895","44,679"
Perry,Alabama,"30,795","32,198","36,217"
Pickens,Alabama,"32,981","34,590","36,861"
Pike,Alabama,"36,785","38,057","40,342"
Randolph,Alabama,"32,974","33,708","35,208"
Russell,Alabama,"32,270","33,796","36,526"
St. Clair,Alabama,"39,658","41,015","43,279"
Shelby,Alabama,"55,482","57,793","59,588"
Sumter,Alabama,"30,492","32,057","35,310"
Talladega,Alabama,"34,277","35,717","38,300"
Tallapoosa,Alabama,"40,576","42,544","45,058"
Tuscaloosa,Alabama,"39,062","40,329","42,868"
Walker,Alabama,"40,267","41,976","44,095"
Washington,Alabama,"36,196","37,568","40,371"
Wilcox,Alabama,"32,406","33,957","38,273"
Winston,Alabama,"34,143","35,508","38,382"
Alaska,Alaska,"59,871","61,742","63,502"
Aleutians East Borough,Alaska,"56,806","61,132","59,574"
Aleutians West Census Area,Alaska,"55,124","56,296","59,674"
Anchorage Municipality,Alaska,"66,928","68,803","70,477"
Bethel Census Area,Alaska,"44,902","45,653","47,936"
Bristol Bay Borough,Alaska,"141,017","145,276","152,678"
Chugach Census Area2,Alaska,(NA),(NA),"69,369"
Copper River Census Area2,Alaska,(NA),(NA),"49,783"
Denali Borough,Alaska,"85,673","82,610","72,967"
Dillingham Census Area,Alaska,"58,932","60,868","60,792"
Fairbanks North Star Borough,Alaska,"56,888","59,194","62,254"
Haines Borough,Alaska,"70,233","70,724","64,956"
Hoonah-Angoon Census Area,Alaska,"62,813","65,367","64,708"
Juneau City and Borough,Alaska,"70,052","72,294","74,162"
Kenai Peninsula Borough,Alaska,"51,975","54,026","56,139"
Ketchikan Gateway Borough,Alaska,"67,666","70,362","70,574"
Kodiak Island Borough,Alaska,"60,618","64,144","66,988"
Kusilvak Census Area,Alaska,"30,395","31,422","33,968"
Lake and Peninsula Borough,Alaska,"65,917","63,985","63,397"
Matanuska-Susitna Borough,Alaska,"47,076","48,327","50,386"
Nome Census Area,Alaska,"51,351","53,521","55,950"
North Slope Borough,Alaska,"86,784","92,708","90,809"
Northwest Arctic Borough,Alaska,"49,001","50,341","52,440"
Petersburg Borough,Alaska,"69,705","71,111","72,412"
Prince of Wales-Hyder Census Area,Alaska,"45,167","47,601","48,970"
Sitka City and Borough,Alaska,"69,656","71,462","70,996"
Skagway Municipality,Alaska,"79,939","81,135","66,548"
Southeast Fairbanks Census Area,Alaska,"50,669","51,992","54,808"
Valdez-Cordova Census Area2,Alaska,"60,348","62,267",(NA)
Wrangell City and Borough,Alaska,"48,680","48,610","48,549"
Yakutat City and Borough,Alaska,"58,780","65,736","66,119"
Yukon-Koyukuk Census Area,Alaska,"56,847","60,189","63,675"
Arizona,Arizona,"44,071","45,808","49,648"
Apache,Arizona,"33,324","33,844","38,915"
Cochise,Arizona,"38,892","40,546","45,786"
Coconino,Arizona,"48,416","48,837","53,036"
Gila,Arizona,"38,892","39,720","44,201"
Graham,Arizona,"30,540","31,179","35,072"
Greenlee,Arizona,"39,794","41,082","44,050"
La Paz,Arizona,"32,456","34,387","39,482"
Maricopa,Arizona,"47,606","49,663","53,521"
Mohave,Arizona,"33,083","34,274","36,529"
Navajo,Arizona,"31,400","32,007","36,169"
Pima,Arizona,"43,103","44,649","48,373"
Pinal,Arizona,"31,679","32,699","35,949"
Santa Cruz,Arizona,"37,151","38,274","42,204"
Yavapai,Arizona,"40,098","41,076","44,490"
Yuma,Arizona,"33,672","35,065","40,800"
Arkansas,Arkansas,"43,446","44,788","47,235"
Arkansas,Arkansas,"44,635","46,005","50,534"
Ashley,Arkansas,"35,682","37,318","38,489"
Baxter,Arkansas,"36,702","37,854","39,950"
Benton,Arkansas,"92,758","94,108","94,289"
Boone,Arkansas,"35,466","36,174","38,108"
Bradley,Arkansas,"38,756","39,097","42,037"
Calhoun,Arkansas,"34,321","35,808","38,509"
Carroll,Arkansas,"33,298","32,925","34,692"
Chicot,Arkansas,"36,744","38,927","44,762"
Clark,Arkansas,"35,696","36,903","39,450"
Clay,Arkansas,"34,740","35,973","39,157"
Cleburne,Arkansas,"37,876","39,296","41,656"
Cleveland,Arkansas,"40,108","39,663","40,366"
Columbia,Arkansas,"36,561","37,225","38,806"
Conway,Arkansas,"38,063","38,465","40,633"
Craighead,Arkansas,"37,129","38,365","40,728"
Crawford,Arkansas,"32,745","33,837","35,919"
Crittenden,Arkansas,"36,828","38,397","41,474"
Cross,Arkansas,"35,000","37,334","41,715"
Dallas,Arkansas,"35,297","37,188","40,611"
Desha,Arkansas,"37,227","39,508","44,920"
