Metropolitan Statisical Area,All items,Goods,Housing,Utilities,Other
United States,100,99.7,100.4,98.2,100.2
Non-Metropolitan Areas,89,96.1,61.5,98.4,97.7
"Abilene, TX",94.4,97,80,111.6,99.8
"Akron, OH",93,93.7,78.8,95.5,97.3
"Albany, GA",84.6,95,49.6,109.6,95.3
"Albany-Lebanon, OR",101.7,103.4,103.3,88.8,100.6
"Albany-Schenectady-Troy, NY",100.3,98.4,106.1,94.1,99.9
"Albuquerque, NM",94.3,96.8,87.9,87.2,95.2
"Alexandria, LA",91.8,95.8,66.5,100,99.8
"Allentown-Bethlehem-Easton, PA-NJ",99.1,98.5,99.6,96.1,99.5
"Altoona, PA",90.2,98.5,56.3,95.2,99.5
"Amarillo, TX",96.2,97,84.1,111.6,99.8
"Ames, IA",94.8,95,88.9,98.6,96.9
"Anchorage, AK",104.3,98.9,115.7,109.1,104.6
"Ann Arbor, MI",99,93.5,120.8,95.9,97.6
"Anniston-Oxford, AL",88.4,95.1,54,118.3,97.8
"Appleton, WI",92.5,94.2,76.7,90.2,97.3
"Asheville, NC",92.1,95.4,78.2,99.2,95.7
"Athens-Clarke County, GA",90.1,95,67.6,109.6,95.3
"Atlanta-Sandy Springs-Alpharetta, GA",98.2,96.7,100.8,109.7,97.8
"Atlantic City-Hammonton, NJ",97.9,98.5,92.3,103.6,99.6
"Auburn-Opelika, AL",91.4,95.1,70.5,118.4,97.8
"Augusta-Richmond County, GA-SC",90.9,95.1,72.1,107.6,95.4
"Austin-Round Rock-Georgetown, TX",101.8,97,121.1,111.6,99.8
"Bakersfield, CA",99.2,103.2,88,95.3,101.4
"Baltimore-Columbia-Towson, MD",105.4,102.9,122.7,98.4,101.9
"Bangor, ME",96.7,99,82.1,69.8,103
"Barnstable Town, MA",107,98.8,133.3,98,101.3
"Baton Rouge, LA",94.7,95.8,79.1,100.2,99.8
"Battle Creek, MI",91.1,93.5,72.4,95.9,97.6
"Bay City, MI",91.3,93.5,68.8,96,97.6
"Beaumont-Port Arthur, TX",93.5,97,68.5,111.5,99.8
"Beckley, WV",86.2,95.2,52.6,100.1,95.9
"Bellingham, WA",102.3,103.8,104.3,89.4,101.2
"Bend, OR",102.2,103.4,105.4,88.8,100.6
"Billings, MT",93.7,95.9,85,80.8,95.8
"Binghamton, NY",94.7,98.4,79.5,94.2,99.9
"Birmingham-Hoover, AL",92.6,95.1,71.9,118.5,97.8
"Bismarck, ND",94.2,95.6,83.4,81.6,97.1
"Blacksburg-Christiansburg, VA",91.5,95,76.5,99.3,95.5
"Bloomington, IL",94.2,94,84.8,93.3,97.6
"Bloomington, IN",94.3,94,85.6,105.4,97.4
"Bloomsburg-Berwick, PA",92.3,98.5,66.7,95.2,99.5
"Boise City, ID",93.5,95.2,88.4,77.2,95.1
"Boston-Cambridge-Newton, MA-NH",110.2,107.8,148.7,97.1,103.5
"Boulder, CO",102.6,95.9,159.6,83.9,94.2
"Bowling Green, KY",89.3,95.3,60.7,101.9,97.2
"Bremerton-Silverdale-Port Orchard, WA",105.5,103.8,124.3,89.2,101.2
"Bridgeport-Stamford-Norwalk, CT",105.6,99,140.4,103.8,102.6
"Brownsville-Harlingen, TX",89.8,97,61.1,111.5,99.8
"Brunswick, GA",87.8,95,61.7,109.6,95.3
"Buffalo-Cheektowaga, NY",95.7,98.4,80,94.3,99.9
"Burlington, NC",90.3,95.4,70.4,99.1,95.7
"Burlington-South Burlington, VT",102.3,98.3,116.6,80.4,102.2
"California-Lexington Park, MD",96.8,95.4,102,98.3,95.9
"Canton-Massillon, OH",88.4,93.7,59,95.5,97.3
"Cape Coral-Fort Myers, FL",99,95.1,113.8,92.7,96.2
"Cape Girardeau, MO-IL",89.5,95.1,61.5,104.6,96.5
"Carbondale-Marion, IL",86.3,94,53,93.2,97.6
"Carson City, NV",96.1,96.3,98.7,96.9,94.8
"Casper, WY",91.6,96.9,71.9,88.6,96
"Cedar Rapids, IA",90.7,95,71.3,98.6,96.9
"Chambersburg-Waynesboro, PA",94.9,98.5,75.8,95.1,99.5
